player,rank,points,url_perfil
C. Taberner,100,608,https://www.atptour.com/en/players/carlos-taberner/te16/overview
P. Martinez,101,586,https://www.atptour.com/en/players/pedro-martinez/mo44/overview
R. Burruchaga,102,580,https://www.atptour.com/en/players/roman-andres-burruchaga/b0fv/overview
A. Vallejo,103,580,https://www.atptour.com/en/players/adolfo-daniel-vallejo/v0dp/overview
A. Blockx,104,570,https://www.atptour.com/en/players/alexander-blockx/b0pg/overview
P. Kypson,105,565,https://www.atptour.com/en/players/patrick-kypson/k0a3/overview
Z. Svajda,106,563,https://www.atptour.com/en/players/zachary-svajda/s0k7/overview
T. Barrios Vera,107,563,https://www.atptour.com/en/players/tomas-barrios-vera/bs86/overview
T. Schoolkate,108,556,https://www.atptour.com/en/players/tristan-schoolkate/s0n0/overview
M. Bellucci,109,553,https://www.atptour.com/en/players/mattia-bellucci/b0gg/overview
F. Maestrelli,110,553,https://www.atptour.com/en/players/francesco-maestrelli/m0if/overview
J. Thompson,111,548,https://www.atptour.com/en/players/jordan-thompson/tc61/overview
B. Bonzi,112,548,https://www.atptour.com/en/players/benjamin-bonzi/bm95/overview
R. Hijikata,113,546,https://www.atptour.com/en/players/rinky-hijikata/h0bh/overview
L. Djere,114,538,https://www.atptour.com/en/players/laslo-djere/db63/overview
C. Tseng,115,536,https://www.atptour.com/en/players/chun-hsin-tseng/t0ap/overview
M. McDonald,116,535,https://www.atptour.com/en/players/mackenzie-mcdonald/mk66/overview
S. Mochizuki,117,525,https://www.atptour.com/en/players/shintaro-mochizuki/m0hu/overview
R. Jodar,118,523,https://www.atptour.com/en/players/rafael-jodar/j0dz/overview
D. Goffin,119,515,https://www.atptour.com/en/players/david-goffin/gb88/overview
T. Droguet,120,510,https://www.atptour.com/en/players/titouan-droguet/d0dw/overview
E. Moller,121,509,https://www.atptour.com/en/players/elmer-moller/m0k4/overview
D. Prizmic,122,507,https://www.atptour.com/en/players/dino-prizmic/p0hw/overview
P. Carreno Busta,123,504,https://www.atptour.com/en/players/pablo-carreno-busta/cd85/overview
J. Choinski,124,498,https://www.atptour.com/en/players/jan-choinski/ch12/overview
M. Damm,125,492,https://www.atptour.com/en/players/martin-damm/d0dt/overview
V. Gaubas,126,490,https://www.atptour.com/en/players/vilius-gaubas/g0fw/overview
B. Coric,127,488,https://www.atptour.com/en/players/borna-coric/cg80/overview
O. Virtanen,128,488,https://www.atptour.com/en/players/otto-virtanen/v0am/overview
D. Lajovic,129,485,https://www.atptour.com/en/players/dusan-lajovic/l987/overview
L. Van Assche,130,477,https://www.atptour.com/en/players/luca-van-assche/v0dz/overview
M. Trungelliti,131,472,https://www.atptour.com/en/players/marco-trungelliti/ta29/overview
S. Ofner,132,471,https://www.atptour.com/en/players/sebastian-ofner/o513/overview
N. Budkov Kjaer,133,470,https://www.atptour.com/en/players/nicolai-budkov-kjaer/b0u4/overview
D. Sweeny,134,468,https://www.atptour.com/en/players/dane-sweeny/s0ia/overview
S. Shimabukuro,135,466,https://www.atptour.com/en/players/sho-shimabukuro/sy67/overview
N. Basilashvili,136,464,https://www.atptour.com/en/players/nikoloz-basilashvili/bg23/overview
C. Wong,137,458,https://www.atptour.com/en/players/coleman-wong/w0bh/overview
J. Pinnington Jones,138,456,https://www.atptour.com/en/players/jack-pinnington-jones/p0ht/overview
M. Echargui,139,449,https://www.atptour.com/en/players/moez-echargui/ea13/overview
A. Pellegrino,140,447,https://www.atptour.com/en/players/andrea-pellegrino/ph64/overview
C. Smith,141,446,https://www.atptour.com/en/players/colton-smith/s0ze/overview
C. Rodesch,142,446,https://www.atptour.com/en/players/chris-rodesch/r0e0/overview
N. Jarry,143,441,https://www.atptour.com/en/players/nicolas-jarry/j551/overview
B. Harris,144,438,https://www.atptour.com/en/players/billy-harris/hd68/overview
D. Merida,145,432,https://www.atptour.com/en/players/daniel-merida/m0n7/overview
Y. Wu,146,427,https://www.atptour.com/en/players/yibing-wu/wb32/overview
J. Faria,147,425,https://www.atptour.com/en/players/jaime-faria/f0f2/overview
Y. Bu,148,424,https://www.atptour.com/en/players/yunchaokete-bu/y09v/overview
L. Draxl,149,422,https://www.atptour.com/en/players/liam-draxl/d0dp/overview
L. Klein,150,421,https://www.atptour.com/en/players/lukas-klein/ki63/overview
B. Holt,151,418,https://www.atptour.com/en/players/brandon-holt/h09p/overview
M. Zheng,152,414,https://www.atptour.com/en/players/michael-zheng/z0bz/overview
K. Jacquet,153,414,https://www.atptour.com/en/players/kyrian-jacquet/j0az/overview
G. Den Ouden,154,405,https://www.atptour.com/en/players/guy-den-ouden/d0h9/overview
L. Harris,155,399,https://www.atptour.com/en/players/lloyd-harris/hg86/overview
G. Zeppieri,156,397,https://www.atptour.com/en/players/giulio-zeppieri/z0a1/overview
