player,rank,points,url_perfil
H. Medjedovic,102,565,https://www.atptour.com/en/players/hamad-medjedovic/m0jf/overview
P. Kypson,103,565,https://www.atptour.com/en/players/patrick-kypson/k0a3/overview
B. Bonzi,104,564,https://www.atptour.com/en/players/benjamin-bonzi/bm95/overview
C. O'Connell,105,561,https://www.atptour.com/en/players/christopher-o'connell/o483/overview
A. Vallejo,106,561,https://www.atptour.com/en/players/adolfo-daniel-vallejo/v0dp/overview
V. Gaubas,107,558,https://www.atptour.com/en/players/vilius-gaubas/g0fw/overview
T. Schoolkate,108,556,https://www.atptour.com/en/players/tristan-schoolkate/s0n0/overview
L. Nardi,109,554,https://www.atptour.com/en/players/luca-nardi/n0bg/overview
M. Bellucci,110,553,https://www.atptour.com/en/players/mattia-bellucci/b0gg/overview
F. Maestrelli,111,553,https://www.atptour.com/en/players/francesco-maestrelli/m0if/overview
T. Barrios Vera,112,551,https://www.atptour.com/en/players/tomas-barrios-vera/bs86/overview
J. Thompson,113,548,https://www.atptour.com/en/players/jordan-thompson/tc61/overview
R. Jodar,114,548,https://www.atptour.com/en/players/rafael-jodar/j0dz/overview
R. Hijikata,115,547,https://www.atptour.com/en/players/rinky-hijikata/h0bh/overview
D. Lajovic,116,541,https://www.atptour.com/en/players/dusan-lajovic/l987/overview
S. Mochizuki,117,538,https://www.atptour.com/en/players/shintaro-mochizuki/m0hu/overview
L. Djere,118,538,https://www.atptour.com/en/players/laslo-djere/db63/overview
M. McDonald,119,535,https://www.atptour.com/en/players/mackenzie-mcdonald/mk66/overview
D. Prizmic,120,529,https://www.atptour.com/en/players/dino-prizmic/p0hw/overview
J. Choinski,121,523,https://www.atptour.com/en/players/jan-choinski/ch12/overview
T. Droguet,122,520,https://www.atptour.com/en/players/titouan-droguet/d0dw/overview
D. Svrcina,123,519,https://www.atptour.com/en/players/dalibor-svrcina/s0gd/overview
P. Carreno Busta,124,516,https://www.atptour.com/en/players/pablo-carreno-busta/cd85/overview
C. Wong,125,515,https://www.atptour.com/en/players/coleman-wong/w0bh/overview
D. Goffin,126,515,https://www.atptour.com/en/players/david-goffin/gb88/overview
E. Moller,127,509,https://www.atptour.com/en/players/elmer-moller/m0k4/overview
M. Damm,128,492,https://www.atptour.com/en/players/martin-damm/d0dt/overview
B. Coric,129,488,https://www.atptour.com/en/players/borna-coric/cg80/overview
S. Shimabukuro,130,479,https://www.atptour.com/en/players/sho-shimabukuro/sy67/overview
O. Virtanen,131,475,https://www.atptour.com/en/players/otto-virtanen/v0am/overview
